Gender,Age,Height,Weight,FHWOW,FAVC,NO_OF_MEALS,PRIMARY_MEALS,WATERINTAKE,FAF,WeightClasses
Female,21,1.62,64,yes,no,2,3,2,0,Normal_Weight
Female,21,1.52,56,yes,no,3,3,3,3,Normal_Weight
Male,23,1.8,77,yes,no,2,3,2,2,Normal_Weight
Male,27,1.8,87,no,no,3,3,2,2,Overweight
Male,22,1.78,89.8,no,no,2,1,2,0,Overweight
Male,29,1.62,53,no,yes,2,3,2,0,Normal_Weight
Female,23,1.5,55,yes,yes,3,3,2,1,Normal_Weight
Male,22,1.64,53,no,no,2,3,2,3,Normal_Weight
Male,24,1.78,64,yes,yes,3,3,2,1,Normal_Weight
Male,22,1.72,68,yes,yes,2,3,2,1,Normal_Weight
Male,26,1.85,105,yes,yes,3,3,3,2,Obesity
Female,21,1.72,80,yes,yes,2,3,2,2,Overweight
Male,22,1.65,56,no,no,3,3,3,2,Normal_Weight
Male,41,1.8,99,no,yes,2,3,2,2,Obesity
Male,23,1.77,60,yes,yes,3,1,1,1,Normal_Weight
Female,22,1.7,66,yes,no,3,3,2,2,Normal_Weight
Male,27,1.93,102,yes,yes,2,1,1,1,Overweight
Female,29,1.53,78,no,yes,2,1,2,0,Obesity
Female,30,1.71,82,yes,yes,3,4,1,0,Overweight
Female,23,1.65,70,yes,no,2,1,2,0,Overweight
Male,22,1.65,80,yes,no,2,3,2,3,Overweight
Female,52,1.69,87,yes,yes,3,1,2,0,Obesity
Female,22,1.65,60,yes,yes,3,3,2,1,Normal_Weight
Female,22,1.6,82,yes,yes,1,1,2,0,Obesity
Male,21,1.85,68,yes,yes,2,3,2,0,Normal_Weight
Male,20,1.6,50,yes,no,2,4,2,3,Normal_Weight
Male,21,1.7,65,yes,yes,2,1,2,1,Normal_Weight
Female,23,1.6,52,no,yes,2,4,2,2,Normal_Weight
Male,19,1.75,76,yes,yes,3,3,2,3,Normal_Weight
Male,23,1.68,70,no,yes,2,3,2,2,Normal_Weight
Male,29,1.77,83,no,yes,1,4,3,0,Overweight
Female,31,1.58,68,yes,no,2,1,1,1,Overweight
Female,24,1.77,76,no,no,2,3,3,1,Normal_Weight
Male,39,1.79,90,no,no,2,1,2,0,Overweight
Male,22,1.65,62,no,yes,2,4,2,2,Normal_Weight
Female,21,1.5,65,yes,no,2,3,2,2,Overweight
Female,22,1.56,49,no,yes,2,3,1,2,Normal_Weight
Female,21,1.6,48,no,yes,2,3,1,1,Normal_Weight
Male,23,1.65,67,yes,yes,2,3,2,1,Normal_Weight
Female,21,1.75,88,yes,yes,2,3,3,3,Overweight
Female,21,1.67,75,yes,yes,2,3,2,1,Overweight
Male,23,1.68,60,no,no,2,4,2,0,Normal_Weight
Female,21,1.66,64,yes,yes,1,3,1,0,Normal_Weight
Male,21,1.66,62,yes,yes,2,3,2,1,Normal_Weight
Male,21,1.81,80,no,no,1,3,2,2,Normal_Weight
Female,21,1.53,65,yes,no,2,3,1,0,Overweight
Male,21,1.82,72,yes,yes,1,3,3,2,Normal_Weight
Male,21,1.75,72,yes,yes,1,3,3,2,Normal_Weight
Female,20,1.66,60,yes,no,3,3,2,1,Normal_Weight
Female,21,1.55,50,no,yes,2,3,2,0,Normal_Weight
Female,21,1.61,54.5,yes,yes,3,3,3,0,Normal_Weight
Female,20,1.5,44,no,yes,2,3,1,0,Normal_Weight
Female,23,1.64,52,no,yes,3,1,2,2,Normal_Weight
Female,23,1.63,55,yes,no,3,3,2,2,Normal_Weight
Female,22,1.6,55,no,no,3,4,3,2,Normal_Weight
Male,23,1.68,62,no,no,2,4,2,0,Normal_Weight
Male,22,1.7,70,yes,yes,2,3,1,0,Normal_Weight
Male,21,1.64,65,yes,no,2,3,1,0,Normal_Weight
Female,17,1.65,67,yes,yes,3,1,2,1,Normal_Weight
Male,20,1.76,55,yes,yes,2,4,3,2,Insufficient_Weight
Female,21,1.55,49,yes,yes,2,3,3,3,Normal_Weight
Male,20,1.65,58,no,yes,2,3,2,3,Normal_Weight
Male,22,1.67,62,no,yes,2,1,2,0,Normal_Weight
Male,22,1.68,55,yes,yes,2,3,2,0,Normal_Weight
Female,21,1.66,57,yes,yes,2,3,1,1,Normal_Weight
Female,21,1.62,69,yes,yes,1,3,2,0,Overweight
Male,23,1.8,90,yes,yes,1,3,2,0,Overweight
Male,23,1.65,95,yes,yes,2,3,2,0,Obesity
Male,30,1.76,112,yes,yes,1,3,2,0,Obesity
Male,23,1.8,60,yes,no,2,3,3,0,Normal_Weight
Female,23,1.65,80,yes,yes,2,3,2,0,Overweight
Female,22,1.67,50,yes,no,3,3,3,2,Insufficient_Weight
Female,24,1.65,60,yes,no,2,3,3,1,Normal_Weight
Male,19,1.85,65,yes,no,2,3,3,2,Normal_Weight
Male,24,1.7,85,yes,yes,2,3,3,0,Overweight
